,MeasDateTime,UTC_datetime,downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),solarAltitude,solarAzimuth,bin_assignment,M_planar,Albedo_planar,raster_meanM,raster_meanALPHA,maskedmeanM,maskedAlbedo,viz_percent
285,2019-06-18 04:45:00,2019-06-18 12:45:00+00:00,6.4,6.5,4.7,88.64245747674065,60.77956581558948,6,2.5466999144865783,0.6893535916515158,1.0132253170013428,0.9810224922765465,1.0288140734256301,0.9768210540866039,1.2066666666666668
300,2019-06-18 05:00:00,2019-06-18 13:00:00+00:00,12.4,22.7,8.6,86.18100066379223,63.01336024360856,6,1.519960417193741,0.41290058760894666,1.0042637586593628,0.5448126172618686,1.0096820263152426,0.5429899941798619,1.2533333333333334
315,2019-06-18 05:15:00,2019-06-18 13:15:00+00:00,19.8,53.0,13.4,83.57694084071892,65.19114302142442,6,1.2909603204161992,0.3068719381964304,1.0022751092910767,0.37295092899438936,1.0055341578241606,0.3720465098397378,1.3399999999999999
330,2019-06-18 05:30:00,2019-06-18 13:30:00+00:00,33.6,94.4,18.6,80.89436054661643,67.32078954779003,6,1.1921263774352515,0.30836104619981547,1.0014218091964722,0.3555263115898411,1.0036899860088642,0.35488071536559085,1.3866666666666667
345,2019-06-18 05:45:00,2019-06-18 13:45:00+00:00,72.2,145.0,23.3,78.15581546537305,69.41032385608017,6,1.1374316374646056,0.44643566491210995,1.000952959060669,0.49753309338581514,1.0027717800315368,0.4967753444417117,1.4533333333333334
360,2019-06-18 06:00:00,2019-06-18 14:00:00+00:00,100.3,198.2,28.4,75.37239689827223,71.46797610846737,7,1.102828066617663,0.46508348477647865,1.0006589889526367,0.5057689521361396,1.0020871569762877,0.5051512350094133,1.3266666666666667
375,2019-06-18 06:15:00,2019-06-18 14:15:00+00:00,127.9,258.7,31.3,72.55121396412335,73.50226897298108,7,1.0790185981487648,0.46228554319267395,1.000458836555481,0.49419573211310586,1.0015561099343457,0.49371972414034254,1.4200000000000002
390,2019-06-18 06:30:00,2019-06-18 14:30:00+00:00,157.4,318.1,36.3,69.6976702858299,75.52213635264644,7,1.0616658557927356,0.4691820733524505,1.0003148317337036,0.4946749847276115,1.0011511945414182,0.4943088429366585,1.5366666666666666
405,2019-06-18 06:45:00,2019-06-18 14:45:00+00:00,186.3,373.8,40.2,66.81631859621598,77.53707785035783,7,1.0484783475289874,0.4777261445014534,1.0002069473266602,0.4983028313387161,1.0007920009241427,0.4980428340065065,1.6766666666666667
420,2019-06-18 07:00:00,2019-06-18 15:00:00+00:00,215.7,425.9,45.7,63.911248580356315,79.5573578408943,7,1.0381329678767004,0.48978406891912174,1.0001237392425537,0.5064009768297977,1.0006408123108705,0.506167360843843,1.79
435,2019-06-18 07:15:00,2019-06-18 15:15:00+00:00,245.0,479.7,49.0,60.98629925309029,81.59426188351776,8,1.0298129926412483,0.49742106876704595,1.0000580549240112,0.5107092559831946,1.0006307171237083,0.5104468150750525,1.6533333333333333
450,2019-06-18 07:30:00,2019-06-18 15:30:00+00:00,272.0,526.2,47.5,58.04520358336728,83.66042611132947,8,1.0229873328485808,0.5063253096654102,1.0000054836273193,0.5169111423448172,1.0004777377489202,0.5166891614868488,1.7366666666666668
465,2019-06-18 07:45:00,2019-06-18 15:45:00+00:00,300.6,582.7,53.5,55.09170888424807,85.77026504307787,8,1.0172959270792328,0.5078963824774565,0.9999626874923706,0.515891859767754,1.0003845542402727,0.5156942733269344,1.8633333333333335
480,2019-06-18 08:00:00,2019-06-18 16:00:00+00:00,329.1,634.8,55.3,52.12969508028277,87.94053381804275,8,1.0124861859276681,0.5125882829633841,0.9999275803565979,0.51846527808347,1.0002902815366361,0.5182936572142055,1.9533333333333331
495,2019-06-18 08:15:00,2019-06-18 16:15:00+00:00,339.0,654.6,64.2,49.16330957407699,90.19107346873096,8,1.0083758100387623,0.5139906447351326,0.9998986124992371,0.517920871247924,1.000194328061996,0.5177827591158642,2.0666666666666664
